timestamp_utc,attack_uid,phase,target_url,http_code,latency_s
2026-05-02T19:48:37Z,D-T0860-12,post,http://10.10.0.154:8080/,404,0.000504
2026-05-02T19:48:57Z,D-T0814-13,T0814,http://10.10.0.153:8080/,404,0.000617
2026-05-02T19:49:04Z,D-T0860-13,pre,http://10.10.0.154:8080/,404,0.000624
2026-05-02T19:49:05Z,D-T0860-13,post,http://10.10.0.154:8080/,404,0.000580
2026-05-02T19:49:24Z,D-T0814-14,T0814,http://10.10.0.153:8080/,404,0.000491
2026-05-02T19:49:31Z,D-T0860-14,pre,http://10.10.0.154:8080/,404,0.000550
2026-05-02T19:49:32Z,D-T0860-14,post,http://10.10.0.154:8080/,404,0.000565
2026-05-02T19:49:51Z,D-T0814-15,T0814,http://10.10.0.153:8080/,404,0.000781
2026-05-02T19:49:58Z,D-T0860-15,pre,http://10.10.0.154:8080/,404,0.000627
2026-05-02T19:49:59Z,D-T0860-15,post,http://10.10.0.154:8080/,404,0.000445
2026-05-02T19:50:19Z,D-T0814-16,T0814,http://10.10.0.153:8080/,404,0.000691
2026-05-02T19:50:27Z,D-T0860-16,pre,http://10.10.0.154:8080/,404,0.000667
2026-05-02T19:50:28Z,D-T0860-16,post,http://10.10.0.154:8080/,404,0.000502
2026-05-02T19:50:46Z,D-T0814-17,T0814,http://10.10.0.153:8080/,404,0.000614
2026-05-02T19:50:54Z,D-T0860-17,pre,http://10.10.0.154:8080/,404,0.000555
2026-05-02T19:50:55Z,D-T0860-17,post,http://10.10.0.154:8080/,404,0.000454
2026-05-02T19:51:13Z,D-T0814-18,T0814,http://10.10.0.153:8080/,404,0.000506
2026-05-02T19:51:20Z,D-T0860-18,pre,http://10.10.0.154:8080/,404,0.000641
2026-05-02T19:51:21Z,D-T0860-18,post,http://10.10.0.154:8080/,404,0.000492
2026-05-02T19:51:42Z,D-T0814-19,T0814,http://10.10.0.153:8080/,404,0.000488
2026-05-02T19:51:49Z,D-T0860-19,pre,http://10.10.0.154:8080/,404,0.000543
2026-05-02T19:51:51Z,D-T0860-19,post,http://10.10.0.154:8080/,404,0.000386
2026-05-02T19:52:11Z,D-T0814-20,T0814,http://10.10.0.153:8080/,404,0.000606
2026-05-02T19:52:19Z,D-T0860-20,pre,http://10.10.0.154:8080/,404,0.000643
2026-05-02T19:52:20Z,D-T0860-20,post,http://10.10.0.154:8080/,404,0.000497
